iter	Passed	Remaining
0	157	156984
1	162	80879
2	166	55456
3	169	42241
4	172	34269
5	174	28862
6	175	24939
7	177	21992
8	179	19754
9	181	17985
10	183	16484
11	184	15193
12	185	14094
13	186	13154
14	187	12336
15	188	11618
16	189	10979
17	190	10409
18	191	9907
19	193	9480
20	194	9089
21	196	8726
22	197	8375
23	198	8053
24	198	7756
25	199	7481
26	200	7226
27	201	6989
28	202	6770
29	203	6566
30	203	6375
31	204	6195
32	205	6025
33	207	5893
34	209	5762
35	210	5630
36	211	5502
37	212	5374
38	213	5251
39	213	5133
40	214	5021
41	215	4916
42	216	4815
43	217	4719
44	218	4627
45	218	4538
46	219	4454
47	221	4384
48	222	4316
49	223	4247
50	224	4182
51	225	4113
52	226	4047
53	227	3982
54	228	3919
55	228	3859
56	229	3801
57	230	3745
58	231	3691
59	232	3638
60	233	3587
61	233	3538
62	235	3505
63	236	3461
64	237	3416
65	238	3373
66	239	3330
67	239	3288
68	240	3248
69	241	3209
70	242	3171
71	243	3134
72	244	3098
73	244	3064
74	245	3030
75	246	2997
76	247	2965
77	248	2933
78	249	2903
79	250	2876
80	251	2848
81	251	2820
82	252	2788
83	253	2760
84	254	2734
85	254	2708
86	255	2682
87	256	2657
88	257	2633
89	258	2609
90	258	2586
91	259	2563
92	260	2541
93	261	2519
94	262	2497
95	262	2476
96	264	2458
97	264	2437
98	265	2417
99	266	2398
100	267	2379
101	268	2360
102	268	2342
103	269	2324
104	270	2306
105	271	2289
106	272	2272
107	273	2255
108	273	2238
109	274	2222
110	275	2206
111	276	2190
112	277	2174
113	277	2159
114	278	2145
115	279	2130
116	280	2114
117	281	2100
118	281	2086
119	282	2072
120	283	2059
121	284	2044
122	284	2031
123	285	2018
124	286	2005
125	287	1993
126	288	1980
127	288	1967
128	289	1956
129	290	1943
130	291	1932
131	292	1920
132	292	1909
133	293	1898
134	294	1887
135	295	1876
136	296	1866
137	297	1855
138	297	1845
139	298	1835
140	299	1825
141	300	1813
142	300	1803
143	301	1794
144	302	1784
145	303	1774
146	304	1765
147	305	1756
148	305	1747
149	306	1738
150	307	1729
151	308	1720
152	309	1712
153	310	1703
154	310	1694
155	311	1686
156	312	1678
157	313	1670
158	314	1661
159	314	1653
160	315	1644
161	316	1636
162	317	1628
163	317	1620
164	318	1613
165	319	1607
166	320	1599
167	321	1592
168	322	1584
169	323	1577
170	323	1570
171	324	1563
172	325	1556
173	326	1549
174	327	1542
175	328	1536
176	328	1529
177	329	1522
178	330	1515
179	331	1509
180	332	1502
181	332	1496
182	333	1490
183	334	1483
184	335	1477
185	336	1471
186	336	1465
187	337	1459
188	338	1453
189	339	1447
190	340	1441
191	341	1435
192	341	1429
193	342	1423
194	343	1417
195	344	1412
196	345	1406
197	345	1401
198	346	1395
199	347	1390
200	348	1385
201	349	1379
202	350	1374
203	350	1369
204	351	1363
205	352	1358
206	353	1353
207	354	1348
208	354	1343
209	355	1338
210	356	1333
211	357	1328
212	358	1323
213	359	1318
214	359	1314
215	360	1309
216	361	1304
217	362	1299
218	363	1295
219	363	1290
220	364	1285
221	365	1281
222	366	1276
223	367	1272
224	367	1267
225	368	1262
226	369	1258
227	370	1253
228	371	1249
229	372	1245
230	372	1241
231	373	1236
232	374	1232
233	375	1228
234	376	1224
235	376	1220
236	377	1216
237	378	1211
238	379	1207
239	380	1203
240	380	1199
241	381	1195
242	382	1191
243	383	1187
244	384	1183
245	384	1179
246	385	1175
247	386	1171
248	387	1167
249	387	1163
250	388	1160
251	389	1156
252	390	1153
253	391	1149
254	392	1145
255	392	1141
256	393	1138
257	394	1134
258	395	1131
259	396	1127
260	397	1124
261	397	1120
262	398	1117
263	399	1113
264	400	1110
265	401	1106
266	401	1103
267	402	1100
268	403	1096
269	404	1093
270	405	1090
271	406	1087
272	406	1083
273	407	1080
274	408	1077
275	409	1073
276	410	1070
277	411	1067
278	411	1064
279	412	1061
280	413	1057
281	414	1054
282	415	1051
283	415	1048
284	416	1045
285	417	1042
286	418	1039
287	419	1036
288	420	1033
289	421	1031
290	422	1029
291	423	1027
292	425	1026
293	426	1024
294	428	1023
295	429	1021
296	430	1019
297	431	1016
298	432	1013
299	433	1010
300	433	1007
301	434	1004
302	435	1001
303	436	998
304	437	996
305	437	993
306	438	990
307	439	987
308	440	984
309	442	984
310	443	983
311	445	981
312	446	979
313	447	976
314	447	974
315	448	971
316	449	968
317	450	965
318	451	963
319	451	960
320	452	957
321	453	955
322	454	952
323	455	950
324	457	949
325	458	947
326	459	945
327	460	943
328	461	941
329	462	938
330	463	936
331	464	934
332	465	931
333	465	929
334	466	926
335	467	923
336	468	921
337	469	918
338	470	917
339	471	915
340	472	913
341	474	912
342	475	910
343	476	907
344	476	905
345	477	902
346	478	900
347	479	897
348	479	895
349	480	892
350	481	890
351	482	887
352	483	885
353	483	883
354	485	882
355	487	881
356	488	879
357	489	878
358	490	876
359	491	873
360	492	871
361	493	869
362	494	866
363	494	864
364	495	862
365	496	860
366	497	857
367	498	855
368	499	854
369	500	852
370	502	851
371	503	850
372	504	847
373	505	845
374	506	843
375	506	841
376	507	838
377	508	836
378	509	834
379	510	832
380	510	830
381	511	827
382	512	825
383	513	823
384	515	822
385	516	821
386	517	820
387	519	818
388	520	816
389	520	814
390	521	812
391	522	810
392	523	808
393	524	806
394	524	803
395	525	801
396	526	799
397	527	797
398	528	795
399	530	795
400	531	794
401	533	793
402	534	791
403	535	789
404	535	787
405	536	785
406	537	783
407	538	780
408	539	778
409	539	776
410	540	774
411	541	772
412	542	770
413	543	768
414	544	767
415	546	766
416	547	765
417	548	764
418	549	762
419	550	760
420	551	758
421	552	756
422	552	754
423	553	752
424	554	750
425	555	748
426	556	746
427	556	744
428	557	742
429	559	741
430	561	740
431	562	739
432	563	737
433	564	736
434	565	734
435	565	732
436	566	730
437	567	728
438	568	726
439	569	724
440	570	722
441	570	720
442	571	718
443	572	716
444	574	716
445	575	715
446	577	713
447	578	712
448	579	710
449	579	708
450	580	706
451	581	705
452	582	703
453	583	701
454	583	699
455	584	697
456	585	695
457	586	693
458	587	692
459	589	691
460	590	690
461	592	689
462	593	688
463	594	686
464	594	684
465	595	682
466	596	680
467	597	678
468	597	677
469	598	675
470	599	673
471	600	671
472	601	669
473	602	668
474	603	667
475	605	666
476	606	664
477	607	663
478	608	661
479	609	660
480	610	658
481	610	656
482	611	654
483	612	653
484	613	651
485	614	649
486	614	647
487	615	646
488	616	644
489	618	643
490	619	642
491	620	641
492	622	639
493	623	638
494	623	636
495	624	634
496	625	632
497	626	631
498	627	629
499	627	627
500	628	626
501	629	624
502	630	622
503	631	621
504	632	619
505	633	618
506	635	617
507	636	616
508	637	614
509	637	612
510	638	611
511	639	609
512	640	607
513	641	606
514	641	604
515	642	602
516	643	601
517	644	599
518	645	597
519	645	596
520	647	595
521	649	594
522	650	593
523	651	591
524	652	590
525	653	588
526	653	586
527	654	585
528	655	583
529	656	582
530	657	580
531	657	578
532	658	577
533	659	575
534	660	573
535	661	572
536	663	571
537	664	570
538	665	569
539	666	567
540	667	566
541	667	564
542	668	562
543	669	561
544	670	559
545	671	558
546	672	556
547	672	554
548	673	553
549	674	551
550	675	550
551	676	549
552	678	548
553	679	547
554	680	545
555	681	544
556	682	542
557	683	541
558	683	539
559	684	538
560	685	536
561	686	534
562	687	533
563	688	531
564	688	530
565	689	528
566	691	528
567	693	527
568	694	525
569	695	524
570	696	523
571	697	521
572	697	520
573	698	518
574	699	517
575	700	515
576	701	513
577	701	512
578	702	510
579	703	509
580	704	507
581	705	507
582	707	505
583	708	504
584	709	503
585	710	501
586	711	500
587	712	498
588	712	497
589	713	495
590	714	494
591	715	493
592	716	491
593	716	490
594	717	488
595	718	487
596	719	485
597	721	484
598	722	483
599	723	482
600	724	481
601	725	479
602	726	478
603	727	476
604	727	475
605	728	473
606	729	472
607	730	470
608	731	469
609	731	467
610	732	466
611	733	465
612	734	463
613	736	462
614	737	461
615	738	460
616	739	458
617	740	457
618	740	456
619	741	454
620	742	453
621	743	451
622	744	450
623	745	449
624	746	447
625	747	446
626	747	444
627	749	444
628	750	442
629	751	441
630	752	439
631	753	438
632	753	437
633	754	435
634	755	434
635	756	432
636	757	431
637	757	430
638	758	428
639	759	427
640	760	425
641	761	424
642	761	423
643	762	421
644	763	420
645	764	419
646	765	417
647	766	416
648	767	414
649	768	413
650	768	412
651	769	410
652	770	409
653	771	408
654	772	406
655	772	405
656	773	403
657	774	402
658	775	401
659	776	399
660	777	398
661	777	397
662	778	395
663	779	394
664	780	393
665	781	391
666	782	390
667	783	389
668	783	387
669	784	386
670	785	385
671	786	383
672	787	382
673	787	381
674	788	379
675	789	378
676	790	377
677	791	375
678	792	374
679	793	373
680	793	371
681	794	370
682	795	369
683	796	367
684	797	366
685	797	365
686	798	363
687	799	362
688	800	361
689	801	359
690	801	358
691	802	357
692	803	355
693	804	354
694	805	353
695	806	352
696	807	350
697	807	349
698	808	348
699	809	346
700	810	345
701	811	344
702	811	343
703	812	341
704	813	340
705	814	339
706	815	337
707	815	336
708	816	335
709	817	333
710	818	332
711	819	331
712	819	330
713	820	328
714	821	327
715	822	326
716	823	324
717	824	323
718	824	322
719	825	321
720	826	319
721	827	318
722	828	317
723	828	315
724	829	314
725	830	313
726	831	312
727	832	310
728	832	309
729	833	308
730	834	307
731	835	305
732	836	304
733	836	303
734	837	301
735	838	300
736	839	299
737	840	298
738	840	296
739	841	295
740	842	294
741	843	293
742	844	291
743	844	290
744	845	289
745	846	288
746	847	287
747	848	285
748	849	284
749	849	283
750	850	282
751	851	280
752	852	279
753	853	278
754	853	277
755	854	275
756	855	274
757	856	273
758	857	272
759	858	271
760	859	269
761	859	268
762	860	267
763	861	266
764	862	265
765	863	263
766	865	262
767	865	261
768	866	260
769	867	259
770	868	258
771	869	256
772	870	255
773	871	254
774	872	253
775	873	252
776	874	251
777	875	249
778	876	248
779	877	247
780	878	246
781	879	245
782	880	243
783	881	242
784	882	241
785	883	240
786	884	239
787	885	238
788	886	237
789	887	235
790	888	234
791	889	233
792	889	232
793	890	231
794	891	229
795	892	228
796	893	227
797	894	226
798	895	225
799	896	224
800	897	223
801	899	221
802	901	221
803	902	220
804	903	218
805	905	217
806	906	216
807	907	215
808	908	214
809	909	213
810	910	212
811	912	211
812	913	210
813	914	208
814	915	207
815	916	206
816	917	205
817	918	204
818	920	203
819	921	202
820	922	201
821	923	200
822	924	198
823	926	197
824	927	196
825	928	195
826	929	194
827	930	193
828	932	192
829	933	191
830	934	190
831	935	188
832	936	187
833	938	186
834	939	185
835	940	184
836	941	183
837	942	182
838	943	181
839	944	179
840	945	178
841	947	177
842	948	176
843	949	175
844	950	174
845	951	173
846	952	172
847	953	170
848	954	169
849	955	168
850	956	167
851	957	166
852	958	165
853	959	164
854	960	162
855	961	161
856	962	160
857	963	159
858	965	158
859	966	157
860	967	156
861	968	155
862	969	153
863	970	152
864	971	151
865	972	150
866	973	149
867	974	148
868	975	146
869	975	145
870	976	144
871	977	143
872	978	142
873	979	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	983	134
880	984	133
881	985	131
882	986	130
883	987	129
884	987	128
885	988	127
886	989	126
887	990	124
888	991	123
889	992	122
890	993	121
891	994	120
892	995	119
893	995	118
894	996	116
895	997	115
896	999	114
897	999	113
898	1000	112
899	1001	111
900	1002	110
901	1003	108
902	1004	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1008	100
909	1009	99
910	1010	98
911	1011	97
912	1012	96
913	1012	95
914	1014	94
915	1015	93
916	1016	92
917	1017	90
918	1018	89
919	1019	88
920	1020	87
921	1020	86
